annot	type	PF	HF	n_subgroups	pfam_id	clan_id	clan_name	Function?	pfam_description
EGF	HF	NA	19	9	PF00008	CL0001	EGF	Signalling	EGF-like domain
hEGF	HF	NA	14	10	PF12661	CL0001	EGF	Signalling	Human growth factor-like EGF
Glyco_hydro_59	HF	NA	11	8	PF02057	CL0036	TIM_barrel	GH	Glycosyl hydrolase family 59
Glyco_hydro_2	HF	NA	10	7	PF00703	CL0159	E-set	GH	Glycosyl hydrolases family 2
FAD_oxidored	HF	NA	9	7	PF12831	CL0063	NADP_Rossmann	Oxidoreductase	FAD dependent oxidoreductase
Glyco_hydro_20	HF	NA	9	8	PF00728	CL0036	TIM_barrel	GH	Glycosyl hydrolase family 20, catalytic domain
Glyco_hydro_31_2nd	HF	NA	9	6	PF01055	CL0036	TIM_barrel	GH	Glycosyl hydrolases family 31 TIM-barrel domain
MT	HF	NA	9	6	PF12777	NA	NA	Microtubule-binding	Microtubule-binding stalk of dynein motor
WSC	HF	NA	9	8	PF01822	NA	NA	NA	WSC domain
AAA_7	HF	NA	8	5	PF12775	CL0023	P-loop_NTPase	Microtubule-binding	P-loop containing dynein motor region
Ig_Rha78A_N	HF	NA	8	7	PF25788	CL0159	E-set	Binding	Rha78A-like, N-terminal immunoglobulin domain
Polycystin_dom	HF	NA	8	3	PF20519	CL0030	Ion_channel	Ion channel	Polycystin domain
SUEL_Lectin	HF	NA	8	5	PF02140	CL0881	SUEL-RBL_sf	Binding domain	D-galactoside/L-rhamnose binding SUEL lectin domain
AAA_lid_11	HF	NA	7	4	PF18198	CL0671	AAA_lid	Microtubule-binding	Dynein heavy chain AAA lid domain
Alpha_L_fucos	HF	NA	7	5	PF01120	CL0036	TIM_barrel	GH	Alpha-L-fucosidase
EcKL	HF	NA	7	5	PF02958	CL0016	PKinase	Signalling	Ecdysteroid kinase-like family
Pect-lyase_RHGA_epim	HF	NA	7	6	PF12708	CL0268	Pec_lyase-like	GH	Rhamnogalacturonase A/epimerase, pectate lyase-like
AAA_8	HF	NA	6	4	PF12780	CL0023	P-loop_NTPase	Microtubule-binding	P-loop containing dynein motor region D4
